Station,Date,MaxT,MinT,RH1,RH2,Wind,Rain,SSH,Evap,Radiation,FAO56_ET,Lat,Lon,Cum_Rain,,,,,,,,,
ICRISAT,01/01/1978,29,14,68,31,6,0,10,4,18,4,18,78,0,,,,,,,,,
ICRISAT,02/01/1978,29,16,79,33,6,0,10,5,17,4,18,78,0,,,,,,,,,
ICRISAT,03/01/1978,29,15,86,37,5,0,9,5,15,3,18,78,0,,,,,,,,,
ICRISAT,04/01/1978,29,18,89,43,7,0,9,4,16,4,18,78,0,,,,,,,,,
ICRISAT,05/01/1978,28,17,81,47,11,0,9,4,16,4,18,78,0,,,,,,,,,
ICRISAT,06/01/1978,27,19,86,49,14,0,10,5,14,4,18,78,0,,,,,,,,,
ICRISAT,07/01/1978,27,20,85,46,11,0,5,5,13,4,18,78,0,,,,,,,,,
ICRISAT,08/01/1978,27,19,92,51,12,17,5,4,14,4,18,78,17,,,,,,,,,
ICRISAT,09/01/1978,27,19,90,47,12,0,8,4,13,4,18,78,17,,,,,,,,,
ICRISAT,10/01/1978,28,20,91,71,12,1,5,3,12,3,18,78,17,,,,,,,,,
ICRISAT,11/01/1978,24,15,95,55,6,0,4,3,13,3,18,78,17,,,,,,,,,
ICRISAT,12/01/1978,24,13,89,31,10,0,6,3,21,4,18,78,17,,,,,,,,,
ICRISAT,13/01/1978,25,10,92,24,6,0,11,4,19,4,18,78,17,,,,,,,,,
ICRISAT,14/01/1978,26,11,86,21,6,0,10,4,16,4,18,78,17,,,,,,,,,
ICRISAT,15/01/1978,28,12,94,28,6,0,10,4,10,3,18,78,17,,,,,,,,,
ICRISAT,16/01/1978,28,13,93,26,9,0,10,5,18,5,18,78,17,,,,,,,,,
ICRISAT,17/01/1978,28,13,86,20,8,0,10,4,20,5,18,78,17,,,,,,,,,
ICRISAT,18/01/1978,29,14,79,26,6,0,10,4,19,4,18,78,17,,,,,,,,,
ICRISAT,19/01/1978,29,14,73,25,6,0,10,5,20,4,18,78,17,,,,,,,,,
ICRISAT,20/01/1978,30,15,65,25,9,0,10,6,20,5,18,78,17,,,,,,,,,
ICRISAT,21/01/1978,30,16,68,27,13,0,10,8,20,6,18,78,17,,,,,,,,,
ICRISAT,22/01/1978,29,14,72,38,8,0,11,6,18,4,18,78,17,,,,,,,,,
ICRISAT,23/01/1978,28,15,78,29,7,0,10,5,20,4,18,78,17,,,,,,,,,
ICRISAT,24/01/1978,29,18,89,39,11,0,10,5,18,5,18,78,17,,,,,,,,,
ICRISAT,25/01/1978,28,17,98,43,12,0,10,6,19,4,18,78,17,,,,,,,,,
ICRISAT,26/01/1978,28,19,79,47,11,0,9,5,14,4,18,78,17,,,,,,,,,
ICRISAT,27/01/1978,28,16,93,35,9,0,7,5,19,4,18,78,17,,,,,,,,,
ICRISAT,28/01/1978,29,19,92,31,9,0,10,5,17,4,18,78,17,,,,,,,,,
ICRISAT,29/01/1978,30,17,85,46,10,0,10,6,19,5,18,78,17,,,,,,,,,
ICRISAT,30/01/1978,30,19,69,41,12,0,10,7,18,5,18,78,17,,,,,,,,,
ICRISAT,31/01/1978,30,19,64,23,10,0,6,7,21,6,18,78,17,,,,,,,,,
ICRISAT,01/02/1978,30,18,78,27,10,0,10,7,21,6,18,78,17,,,,,,,,,
ICRISAT,02/02/1978,29,18,83,46,13,0,11,7,17,5,18,78,17,,,,,,,,,
ICRISAT,03/02/1978,28,17,89,43,14,3,9,6,11,4,18,78,20,,,,,,,,,
ICRISAT,04/02/1978,27,18,88,38,8,0,3,3,21,4,18,78,20,,,,,,,,,
ICRISAT,05/02/1978,28,17,94,33,13,0,10,6,20,5,18,78,20,,,,,,,,,
ICRISAT,06/02/1978,29,20,79,45,16,0,10,7,11,5,18,78,20,,,,,,,,,
ICRISAT,07/02/1978,27,19,90,57,11,2,3,3,11,3,18,78,22,,,,,,,,,
ICRISAT,08/02/1978,27,19,94,52,7,1,6,2,14,3,18,78,23,,,,,,,,,
ICRISAT,09/02/1978,29,19,90,53,11,2,7,3,18,4,18,78,24,,,,,,,,,
ICRISAT,10/02/1978,28,19,90,48,12,6,8,5,18,5,18,78,30,,,,,,,,,
ICRISAT,11/02/1978,28,18,90,33,15,0,7,5,22,6,18,78,30,,,,,,,,,
ICRISAT,12/02/1978,31,18,93,27,15,0,11,7,20,6,18,78,30,,,,,,,,,
ICRISAT,13/02/1978,32,17,74,27,11,0,10,7,22,6,18,78,30,,,,,,,,,
ICRISAT,14/02/1978,32,18,59,16,7,0,11,8,23,5,18,78,30,,,,,,,,,
ICRISAT,15/02/1978,33,16,49,15,11,0,11,9,24,7,18,78,30,,,,,,,,,
ICRISAT,16/02/1978,32,17,74,17,13,0,11,9,23,7,18,78,30,,,,,,,,,
ICRISAT,17/02/1978,33,17,73,23,12,0,11,9,21,7,18,78,30,,,,,,,,,
ICRISAT,18/02/1978,33,18,91,41,8,0,10,6,14,4,18,78,30,,,,,,,,,
ICRISAT,19/02/1978,30,18,87,50,6,0,7,4,18,4,18,78,30,,,,,,,,,
ICRISAT,20/02/1978,30,20,93,54,10,10,9,4,13,4,18,78,41,,,,,,,,,
ICRISAT,21/02/1978,28,19,91,46,8,3,7,3,18,4,18,78,43,,,,,,,,,
ICRISAT,22/02/1978,29,20,91,44,10,0,8,5,19,5,18,78,43,,,,,,,,,
ICRISAT,23/02/1978,29,21,83,57,15,0,8,7,9,4,18,78,43,,,,,,,,,
